"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-1/\" rel=\"category tag\"></a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(6) > h3 > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a class=\"related_group_image\" href=\"/f1/f1-2024-grid-full-sargeant-williams-announcement/\" style=\"background-position:bottom center;background-image:url('/content/images/size/w600/2023/12/WilliamsF1_115017_HiRes-1.jpg');display:block;background-colo...","#therace_related_a > div > div:nth-child(1) > div:nth-child(7) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/f1/\" rel=\"category tag\">\n</a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(7) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/f1/\" rel=\"category tag\"></a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(7) > h3 > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a class=\"related_group_image\" href=\"/formula-e/envision-robin-frijns-unlikely-formula-e-reunion-2024/\" style=\"background-position:bottom center;background-image:url('/content/images/size/w600/2023/12/Spacesuit-Media-Peter-Minnig-316087.jpg');display...","#therace_related_a > div > div:nth-child(1) > div:nth-child(8) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-e/\" rel=\"category tag\">\n</a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(8) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-e/\" rel=\"category tag\"></a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(8) > h3 > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img style=\"max-width:115px;\" src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/ajax-loader-balls.gif\">","#therace_related_a > div > div:nth-child(2) > div:nth-child(2) > div > img"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 3:1, but text in this element has a contrast ratio of 2.99:1. Recommendation:  change text colour to #e8741e.","<h4>Latest</h4>","#therace_trend_read > div > div > div:nth-child(1) > div > h4"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.facebook.com/wearetherace\" target=\"_blank\"><i class=\"fab fa-facebook\" aria...</a>","#footer_social > span:nth-child(1) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://twitter.com/wearetherace\" target=\"_blank\"><i class=\"fab fa-twitter\" aria-...</a>","#footer_social > span:nth-child(2) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.instagram.com/wearetherace/\" target=\"_blank\"><i class=\"fab fa-instagram\" ari...</a>","#footer_social > span:nth-child(3) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://podcasts.apple.com/us/podcast/the-race-f1-podcast/id1495557562\" target=\"_blank\"><i class=\"fas fa-podcast\" aria-...</a>","#footer_social > span:nth-child(4) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.youtube.com/channel/UCaTxfj0BzL-MaCy-YUqPRoQ\" target=\"_blank\"><i class=\"fab fa-youtube\" aria-...</a>","#footer_social > span:nth-child(5) > a"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe name=\"__tcfapiLocator\" style=\"display: none;\"></iframe>","html > body > iframe:nth-child(5)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img id=\"CookiebotSessionPixel\" src=\"https://imgsct.cookiebot.com/1.gif?dgi=b553f39d-f54f-4f8d-bf23-a45a6877d114\" data-cookieconsent=\"ignore\" style=\"display: none;\">","#CookiebotSessionPixel"
